what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,14.0.0.v201110171935-205994,"com.android.ide.eclipse.ddms.views.LogCatView",1333261723291
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333261733710
error,log,,,"Unhandled event loop exception",1333261733715
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333261735301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1333261738466
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261739446
executed,command,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui.format.document",1333261740427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261741505
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333261744756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333261745711
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333261764472
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333261764636
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261793282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1333261797260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1333261800863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261815113
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1333261844588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261862670
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261865043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261877880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1333261897899
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1333261900777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261915794
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333261924174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333261930549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333261931584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1333262207225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1333262209028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1333262220064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262224795
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262226270
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262287930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262482011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262484701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262512542
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333262514059
activated,editor,com.android.ide.eclipse.adt,14.0.0.v201110171935-205994,"com.android.ide.eclipse.editors.layout.LayoutEditor",1333262749483
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1333262752295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333262815243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263409545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263414259
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263415883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1333263415890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263416723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263451229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1333263453019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263459338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263462957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263470928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1333263878324
